Board Mount (Cartridge Style Excluded),630mA,250V,-,Fast,Radial* Can* Vertical,Through Hole,35A,0.15,CE* CSA* cULus* SEMKO* VDE,-55°C ~ 125°C,-,0.329" Dia x 0.303" H (8.35mm x 7.70mm),
Cartridge* Ceramic,4.5A,250V,-,Fast,Cartridge* Non-Standard (Axial),Through Hole,50A,9.58,CSA* UL,-,-,0.154" Dia x 0.433" L (3.90mm x 11.00mm),
