5100pF,±10%,25V,C0G* NP0,-55°C ~ 125°C,Low ESL,-,General Purpose,-,Through Hole,Radial,0.200" L x 0.125" W (5.08mm x 3.18mm),0.300" (7.62mm),-,0.200" (5.08mm),Formed Leads - Kinked,
100µF,±20%,16V,X7S,-55°C ~ 125°C,Low ESL (Stacked),AEC-Q200,Automotive* SMPS Filtering* Bypass* Decoupling,-,Surface Mount* MLCC,Stacked SMD* 2 J-Lead,0.236" L x 0.197" W (6.00mm x 5.00mm),-,0.217" (5.50mm),-,J-Lead,
