2 to 1,4.00' (1.22m),2.000" (50.80mm),1.000" (25.40mm),0.060" (1.52mm),Polyolefin (PO),Adhesive Lined* Flame Retardant* Fluid Resistant,Black,-55°C ~ 110°C,121°C,
2 to 1,4.00' (1.22m),2.000" (50.80mm),1.000" (25.40mm),0.060" (1.52mm),Polyolefin (PO),Adhesive Lined* Flame Retardant* Fluid Resistant,Black,-55°C ~ 110°C,121°C,
