Tip - Type Phillips,Tip - Size #3,Drive Size 1/4",Length - Overall 1.97" (50.0mm),Features Anti-Cam Out* Carbide Coated,Quantity 1,
Tip - Type Phillips,Tip - Size #2,Drive Size 1/4",Length - Overall 5.00" (127.0mm),Features Impact Resistant,Quantity 1,
Tip - Type Phillips,Tip - Size #2,Drive Size 1/4",Length - Overall 4.33" (110.0mm),Features Impact Resistant,Quantity 1,
