915MHz,31MHz,2dB,-,TRC103 Transceiver,Surface Mount,8-SMD* No Lead,0.055" (1.40mm),0.118" L x 0.118" W (3.00mm x 3.00mm),
2.436GHz,72MHz,3.5dB,-,General Purpose,Surface Mount,5-SMD* No Lead,0.028" (0.70mm),0.055" L x 0.043" W (1.40mm x 1.10mm),
