https://media.digikey.com/photos/Fairchild%20Semi%20Photos/261-14-SOP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/74F280.pdf,74F280SJ-ND,74F280SJ,ON Semiconductor,IC 9-BIT GEN/CHKER 14SOP,0,Obsolete,-,Tube,74F,Obsolete
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14-DIP_tmb.jpg,http://www.ti.com/lit/ds/symlink/sn74as280.pdf,296-33808-5-ND,SN74AS280N,Texas Instruments,IC 9-BIT GEN/CHKER 14DIP,200 - Immediate,$3.43000,1,Tube,74AS,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14-DIP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/SN54(LS  S)280.pdf,296-3687-5-ND,SN74LS280N,Texas Instruments,IC 9-BIT GEN/CHKER 14DIP,863 - Immediate,$1.31000,1,Tube,74LS,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/SN54(LS  S)280.pdf,296-28879-2-ND,SN74LS280NSR,Texas Instruments,IC 9-BIT GEN/CHKER 14SO,0  Standard Lead Time 6 Weeks,$0.55720,2  000,Tape & Reel (TR)  Alternate Packaging,74LS,Active
https://media.digikey.com/Renders/Texas%20Instr%20Renders/14-DIP_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/SN54(LS  S)280.pdf,296-14938-5-ND,SN74S280N,Texas Instruments,IC 9-BIT GEN/CHKER 14DIP,0,Obsolete,-,Tube,74S,Obsolete
https://media.digikey.com/Renders/NXP%20Semi%20Renders/14-SOIC-SOT108-1_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/74HC_HCT280.pdf,1727-6591-2-ND,74HC280D  653,Nexperia USA Inc.,IC 9-BIT GEN/CHKER 14SO,2  500 - Immediate,$0.22670,2  500,Tape & Reel (TR)  Alternate Packaging,74HC,Active
