Buffer   Non-Inverting,2,4,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Buffer   Non-Inverting,2,2   4 (Hex),-,Push-Pull,2.6mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Transceiver   Non-Inverting,1,8,-,Open Collector,-   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.209"   5.30mm Width),14-SOP
Buffer   Non-Inverting,4,4,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Buffer   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,56-TFSOP (0.240"   6.10mm Width),56-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
Buffer   Non-Inverting,2,4,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,3 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.209"   5.30mm Width),24-SO
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,1.5 V ~ 5.5 V,-55°C ~ 125°C (TA),Through Hole,20-DIP (0.300"   7.62mm),20-PDIP
Buffer   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Transceiver   Non-Inverting,2,8,-,Push-Pull,16mA   16mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,48-BSSOP (0.295"   7.50mm Width),48-SSOP
Buffer   Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
