N-Channel,MOSFET (Metal Oxide),30V,84A (Ta),4.5V   10V,3V @ 250µA,56nC @ 10V,±20V,3845pF @ 15V,-,83W (Ta),5 mOhm @ 18A   10V,-55°C ~ 175°C (TJ),Surface Mount,D-PAK (TO-252),TO-252-3   DPak (2 Leads + Tab)   SC-63
N-Channel,MOSFET (Metal Oxide),30V,13A (Ta)   58A (Tc),4.5V   10V,2.5V @ 250µA,31nC @ 10V,±20V,1260pF @ 15V,-,55W (Tc),9 mOhm @ 35A   10V,-55°C ~ 175°C (TJ),Surface Mount,TO-252AA,TO-252-3   DPak (2 Leads + Tab)   SC-63
N-Channel,MOSFET (Metal Oxide),30V,17A (Ta)   94A (Tc),4.5V   10V,2.5V @ 250µA,60nC @ 10V,±20V,2525pF @ 15V,-,80W (Tc),5.7 mOhm @ 35A   10V,-55°C ~ 175°C (TJ),Surface Mount,TO-252AA,TO-252-3   DPak (2 Leads + Tab)   SC-63
P-Channel,MOSFET (Metal Oxide),30V,8.5A (Ta)   18A (Tc),4.5V   10V,3V @ 250µA,46nC @ 10V,±25V,2045pF @ 15V,-,2.3W (Ta)   31W (Tc),20 mOhm @ 8.5A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-MLP (3.3x3.3),8-PowerWDFN
N-Channel,MOSFET (Metal Oxide),30V,14.8A (Ta)   18A (Tc),4.5V   10V,3V @ 1mA,42nC @ 10V,±20V,2520pF @ 15V,-,2.3W (Ta)   36W (Tc),6 mOhm @ 14.8A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-MLP (3.3x3.3),8-PowerWDFN
P-Channel,MOSFET (Metal Oxide),20V,2.4A (Ta),2.5V   4.5V,1.5V @ 250µA,14nC @ 4.5V,±12V,882pF @ 10V,-,500mW (Ta),55 mOhm @ 2.4A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
P-Channel,MOSFET (Metal Oxide),12V,2.6A (Ta),1.8V   4.5V,1.5V @ 250µA,17nC @ 4.5V,±8V,1138pF @ 6V,-,500mW (Ta),40 mOhm @ 2.6A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),20V,2A (Ta),1.8V   4.5V,1.5V @ 250µA,6.3nC @ 4.5V,±8V,423pF @ 10V,-,500mW (Ta),70 mOhm @ 2A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
P-Channel,MOSFET (Metal Oxide),20V,1.3A (Ta),2.5V   4.5V,1.5V @ 250µA,5nC @ 4.5V,±8V,330pF @ 10V,-,500mW (Ta),200 mOhm @ 1.3A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),30V,2.2A (Ta),2.5V   4.5V,1V @ 250µA,9nC @ 4.5V,±8V,300pF @ 10V,-,500mW (Ta),65 mOhm @ 2.2A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
P-Channel,MOSFET (Metal Oxide),20V,1.6A (Ta),2.5V   4.5V,1.5V @ 250µA,6.2nC @ 4.5V,±8V,451pF @ 10V,-,500mW (Ta),115 mOhm @ 1.6A   4.5V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),30V,1.9A (Ta),4.5V   10V,2V @ 250µA,5.9nC @ 5V,±20V,235pF @ 10V,-,500mW (Ta),60 mOhm @ 2.2A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
P-Channel,MOSFET (Metal Oxide),30V,1.5A (Ta),4.5V   10V,3V @ 250µA,5.6nC @ 10V,±20V,182pF @ 15V,-,500mW (Ta),125 mOhm @ 1.5A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),30V,1.4A (Ta),4.5V   10V,3V @ 250µA,1.8nC @ 4.5V,±20V,193pF @ 15V,-,500mW (Ta),110 mOhm @ 1.4A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),150V,1.6A (Ta),6V   10V,4V @ 250µA,5nC @ 10V,±20V,225pF @ 75V,-,1.5W (Ta),261 mOhm @ 1.6A   10V,-55°C ~ 150°C (TJ),Surface Mount,SuperSOT-3,TO-236-3   SC-59   SOT-23-3
N-Channel,MOSFET (Metal Oxide),500V,20A (Tc),10V,5V @ 250µA,59.5nC @ 10V,±30V,3120pF @ 25V,-,38.5W (Tc),230 mOhm @ 10A   10V,-55°C ~ 150°C (TJ),Through Hole,TO-220F,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),250V,33A (Tc),10V,5V @ 250µA,48nC @ 10V,±30V,2135pF @ 25V,-,37W (Tc),94 mOhm @ 16.5A   10V,-55°C ~ 150°C (TJ),Through Hole,TO-220F,TO-220-3 Full Pack
N-Channel,MOSFET (Metal Oxide),150V,4.1A (Ta),6V   10V,4V @ 250µA,25nC @ 10V,±20V,1290pF @ 25V,-,2.5W (Ta),66 mOhm @ 4.1A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),30V,8.8A (Ta),4.5V   10V,3V @ 250µA,40nC @ 10V,±25V,1845pF @ 15V,-,2.5W (Ta),20 mOhm @ 8.8A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),30V,8.8A (Ta),4.5V   10V,3V @ 250µA,40nC @ 10V,±25V,1845pF @ 15V,-,2.5W (Ta),20 mOhm @ 8.8A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),40V,12.5A (Ta),10V,5V @ 250µA,63nC @ 10V,+30V   -20V,2659pF @ 20V,-,2.5W (Ta),9 mOhm @ 12.5A   10V,-55°C ~ 175°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),60V,10A (Ta),6V   10V,4V @ 250µA,70nC @ 10V,±20V,2900pF @ 15V,-,2.5W (Ta),14 mOhm @ 10A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
