1.6GHz ~ 2.4GHz,-,31dB,-,Cellular   CDMA   EDGE   GSM   TDMA   W-CDMA,26V,60mA,-,TO-272-16 Variant   Flat Leads,TO-272 WB-16
100MHz ~ 1GHz,40.4dBm,23.5dB,-,General Purpose,32V,75mA,100MHz,24-PowerQFN,24-PQFN (8x8)
5.15GHz ~ 5.85GHz,34dBm,32dB,-,802.11a/n,3 V ~ 5.5 V,600mA,5.15GHz ~ 5.85GHz,20-VFQFN Exposed Pad,20-QFN (4x4)
