Linear,Potentiometer,2,256,100k,Serial,Volatile,5V,Cascade Pin,±20%,750 ppm/°C,400,-40°C ~ 85°C,16-SOIC (0.295"   7.50mm Width),16-SOIC
Linear,Potentiometer,2,256,10k,Serial,Non-Volatile,5V,Cascade Pin,±20%,750 ppm/°C,400,-40°C ~ 85°C,16-SOIC (0.295"   7.50mm Width),16-SOIC
Linear,Potentiometer,2,256,10k,Serial,Non-Volatile,5V,Cascade Pin,±20%,750 ppm/°C,400,-40°C ~ 85°C,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Logarithmic,Potentiometer,2,64,45k,I²C,Non-Volatile,2.7 V ~ 5.5 V,Mute   Selectable Address   Zero-Cross Sense,±20%,750 ppm/°C,160,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Linear,Potentiometer,1,256,10k,SPI,Volatile,2.7 V ~ 5.5 V,-,±25%,35 ppm/°C,275,-40°C ~ 85°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-uMAX
Linear,Rheostat,1,32,10k,Up/Down (U/D   CS),Volatile,2.7 V ~ 5.5 V,-,±25%,35 ppm/°C,-,-40°C ~ 85°C,SOT-23-6,SOT-23-6
Linear,Rheostat,1,64,50k,Up/Down (U/D   CS),Volatile,1.8 V ~ 5.5 V,-,±20%,150 ppm/°C,70,-40°C ~ 125°C,SOT-23-6,SOT-23-6
Linear,Potentiometer,4,256,100k,I²C,Non-Volatile,±2.7 V ~ 5.5 V,Selectable Address,±20%,±300 ppm/°C,150,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
Linear,Potentiometer,4,256,50k,I²C,Non-Volatile,±2.7 V ~ 5.5 V,Selectable Address,±20%,±300 ppm/°C,150,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
Linear,Potentiometer,1,100,10k,Up/Down (U/D   INC   CS),Non-Volatile,5V,-,±20%,±300 ppm/°C,40,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
Linear,Potentiometer,1,100,10k,Up/Down (U/D   INC   CS),Non-Volatile,5V,-,±20%,±300 ppm/°C,40,-40°C ~ 85°C,8-DIP (0.300"   7.62mm),8-PDIP
Linear,Potentiometer,1,100,10k,Up/Down (U/D   INC   CS),Non-Volatile,5V,-,±20%,±300 ppm/°C,40,0°C ~ 70°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
Linear,Potentiometer,1,100,50k,Up/Down (U/D   INC   CS),Non-Volatile,5V,-,±20%,±300 ppm/°C,40,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
