null,https://media.digikey.com/pdf/Data%20Sheets/Cypress%20PDFs/CY7C64601  603  613.pdf,428-1310-ND,CY7C64613-128NC,Cypress Semiconductor Corp,IC MCU USB EZ FX 8K RAM 128BQFP,0,Obsolete,-,Tray,EZ-USB FX™,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/56TFSOP_tmb.jpg,http://www.cypress.com/?docID=45142,428-1627-ND,CY7C68013A-56PVXC,Cypress Semiconductor Corp,IC MCU USB PERIPH HI SPD 56SSOP,6  464 - Immediate,$12.01000,1,Tube  Alternate Packaging,EZ-USB FX2LP™,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-LQFP_tmb.jpg,http://www.cypress.com/?docID=48690,428-1721-ND,SL811HST-AXC,Cypress Semiconductor Corp,IC USB HOST/SLAVE CTRLR 48TQFP,1  572 - Immediate,$16.94000,1,Tray,-,Active
