Zener,1,-,8.5V,9.44V,14.4V,41.7A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,SMB
Zener,1,-,9V,10V,15.4V,39A,600W,No,General Purpose,-,-65°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,5,-,5V (Max),6V,12.5V,8A (8/20µs),100W,No,General Purpose,130pF @ 1MHz,-55°C ~ 125°C (TJ),Surface Mount,6-TSSOP   SC-88   SOT-363,SC-70-6
Zener,-,1,15V,16V,30V,10A (8/20µs),300W,No,General Purpose,1.5pF @ 1MHz,-40°C ~ 125°C (TJ),Surface Mount,TO-253-4   TO-253AA,SOT-143
Zener,-,9,24V,25V,36V,25A (8/20µs),300W,No,General Purpose,420pF @ 1MHz,-,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Steering (Rail to Rail),2,-,3.3V (Max),3.3V,17V,150A (8/20µs),3300W (3.3kW),Yes,Ethernet,9pF @ 1MHz,-40°C ~ 125°C (TJ),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Zener,1,-,20V,22V,32V,500A (8/20µs),22500 (22.5kW),No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AB   SMC,SMC
Zener,2,1,26V,31.35V,46V,870mA,40W,No,Automotive,-,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
Zener,2,1,3V,5.32V,8V,3A,24W,No,Automotive,-,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
Zener,1,-,23V,24V,-,-,-,No,General Purpose,-,-40°C ~ 150°C (TJ),Surface Mount,Top Can,TOP CAN
Steering (Rail to Rail),2,-,5V (Max),6V,20V,8A (8/20µs),500W,Yes,General Purpose,3pF @ 1MHz,-40°C ~ 125°C (TJ),Surface Mount,SOT-23-6 Thin   TSOT-23-6,6-TSOP
Steering (Rail to Rail),2,-,5V (Max),6V,20V,8A (8/20µs),500W,Yes,General Purpose,3pF @ 1MHz,-40°C ~ 125°C (TJ),Surface Mount,6-TSSOP   SC-88   SOT-363,SC-88/SC70-6/SOT-363
Steering (Rail to Rail),4,-,5V (Max),6V,14.5V (Typ),28A (8/20µs),500W,No,General Purpose,3pF @ 1MHz,-40°C ~ 125°C (TJ),Surface Mount,6-TSSOP   SC-88   SOT-363,SC-88/SC70-6/SOT-363
Zener,4,-,3V,5.3V,13V,1.6A (8/20µs),20W,No,Automotive,13pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOT-553,SOT-553
Zener,1,-,36V,40V,58.1V,6.9A,400W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,2-SMD   Flat Lead,D-Flat
Zener,1,-,85.5V,95V,137V,4.5A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,85.5V,95V,137V,4.4A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-15
Zener,1,-,128V,143V,207V,3A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,-,1,12.8V,14.3V,21.2V,28A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-15
Zener,1,-,13.6V,15.2V,22.5V,27.1A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,1,-,154V,171V,246V,2.4A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,-,1,15.3V,17.1V,25.2V,24A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-15
Zener,1,-,256V,285V,414V,1.5A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,1,-,28.2V,31.4V,45.7V,13.3A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,-,1,28.2V,31.4V,59V,68A (8/20µs),600W,No,General Purpose,500pF @ 1MHz,-,Through Hole,DO-204AC   DO-15   Axial,DO-15
Zener,1,-,30.8V,34.2V,49.9V,12.6A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,1,-,36.8V,40.9V,59.3V,10.3A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,-,1,36.8V,40.9V,59.3V,10.1A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,1,-,40.2V,44.7V,64.8V,9.4A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,5.8V,6.45V,10.5V,58.1A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,1,-,64.1V,71.3V,103V,5.9A,600W,No,General Purpose,-,-55°C ~ 175°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
