USB Microcontroller,8051,ROMless,CY7C646xx,8K x 8,I²C   USB   USART,40,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,128-BFQFP,128-PQFP (14x20)
USB Microcontroller,8051,ROMless,CY7C680xx,16K x 8,I²C   USB   USART,24,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,56-BSSOP (0.295"   7.50mm Width),56-SSOP
USB Host/Slave Controller,-,-,USB-Hosts,256 x 8,USB,8,3 V ~ 3.6 V,0°C ~ 65°C,Surface Mount,48-LQFP,48-TQFP (7x7)
