Isolated,2k,±0.1%,12,±0.025%,±5 ppm/°C,24,100mW,±25ppm/°C,-55°C ~ 125°C,-,Surface Mount,24-SSOP (0.154"   3.90mm Width),-,0.341" L x 0.154" W (8.66mm x 3.91mm),0.068" (1.73mm)
Bussed,10k,±1%,8,-,±50 ppm/°C,9,200mW,±100ppm/°C,-55°C ~ 125°C,-,Through Hole,9-SIP,9-SIP,0.890" L x 0.098" W (22.61mm x 2.49mm),0.195" (4.95mm)
