920nm,-,780nm ~ 1050nm,PIN,-,100ns,60V,1nA,0.23mm²,150°,-40°C ~ 100°C,Surface Mount,2-SMD   No Lead
940nm,Blue,350nm ~ 1100nm,-,-,40ns,75V,65nA,62.91mm²,-,-40°C ~ 100°C,Free Hanging,Die
