USB,2:1,SPDT,4,6.5 Ohm,3 V ~ 3.6 V,-,750MHz,Bi-Directional   USB 2.0,-40°C ~ 85°C (TA),16-TSSOP (0.173"   4.40mm Width),16-TSSOP
USB,2:1,SPDT,4,6.5 Ohm,3 V ~ 3.6 V,-,750MHz,Bi-Directional   USB 2.0,-40°C ~ 85°C (TA),16-SSOP (0.154"   3.90mm Width),16-QSOP
USB,-,DPDT,1,10 Ohm,3 V ~ 4.3 V,-,900MHz,Bi-Directional   USB 2.0,-40°C ~ 85°C (TA),10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-VSSOP
-,-,-,2,100 Ohm,2 V ~ 6 V,±2 V ~ 6 V,-,-,-40°C ~ 85°C (TA),8-TSSOP   8-MSOP (0.110"   2.80mm Width),8-SSOP
USB,2:1,SPDT,4,6.5 Ohm,3 V ~ 3.6 V,-,750MHz,Bi-Directional   USB 2.0,-40°C ~ 85°C (TA),16-TSSOP (0.173"   4.40mm Width),16-TSSOP
USB,2:1,SPDT,4,6.5 Ohm,3 V ~ 3.6 V,-,750MHz,Bi-Directional   USB 2.0,-40°C ~ 85°C (TA),16-SSOP (0.154"   3.90mm Width),16-QSOP
