Laser Diode Driver,3.3Gbps,1,3 V ~ 3.6 V,30mA,90mA,100mA,-40°C ~ 85°C,24-WFQFN Exposed Pad   CSP,24-LFCSP-WQ (4x4),Surface Mount
Laser Diode Driver (Fiber Optic),4.25Gbps,1,3 V ~ 3.6 V,55mA,85mA,100mA,-40°C ~ 85°C,24-VFQFN Exposed Pad,24-VQFN (4x4),Surface Mount
Laser Diode Driver,3.3Gbps,1,3 V ~ 3.6 V,30mA,90mA,100mA,-40°C ~ 85°C,24-WFQFN Exposed Pad   CSP,24-LFCSP-WQ (4x4),Surface Mount
