https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/48-BSSOP_tmb.jpg,http://www.idt.com/document/953002-datasheet,953002DFLFT-ND,953002DFLFT,IDT   Integrated Device Technology Inc,IC TIMING CTRL HUB P4 48SSOP,0  Standard Lead Time 12 Weeks,$3.37500,1  000  Non-Stock,Tape & Reel (TR)  Alternate Packaging,TCH™,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/56TFSOP_tmb.jpg,http://www.idt.com/document/950810,950810CGLF-ND,950810CGLF,IDT   Integrated Device Technology Inc,IC FREQ GEN 200MHZ CLK 56-TSSOP,0,Obsolete,-,Tube,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/56TFSOP_tmb.jpg,http://www.idt.com/document/950810,950810CGLF-ND,950810CGLF,IDT   Integrated Device Technology Inc,IC FREQ GEN 200MHZ CLK 56-TSSOP,0,Obsolete,-,Tube,-,Obsolete
