VCO (Dual),-,20MHz,4.75 V ~ 5.25 V,35mA,0°C ~ 70°C,16-SOIC (0.154"   3.90mm Width),16-SOIC,Surface Mount
VCO,-,1.1GHz,4.2 V ~ 5.5 V,19mA,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC,Surface Mount
Programmable Timer,2 ~ 2²⁴,5MHz,3 V ~ 18 V,3mA,-55°C ~ 125°C,16-DIP (0.300"   7.62mm),16-PDIP,Through Hole
