DC DC Regulator,Switched Capacitor (Charge Pump),Yes,2,2.7V,5.5V,6V,200mA,1MHz,-,Camera Flash,-40°C ~ 85°C (TA),Surface Mount,16-WFQFN Exposed Pad,16-TQFN (3x3)
Linear,Shift Register,Yes,16,4.5V,5.5V,10V,50mA,-,-,-,-30°C ~ 85°C (TA),Surface Mount,25-SOP (0.213"   5.40mm Width) + 2 Heat Tabs,25-HSOP
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
