1 Pair Common Anode,5.6V,-,250mW,100 Ohms,-,900mV @ 10mA,-,Surface Mount,TO-236-3   SC-59   SOT-23-3,TO-236AB (SOT23)
2 Pair Common Anode,6.8V,±5%,200mW,40 Ohms,500nA @ 3.5V,-,-,Surface Mount,5-TSSOP   SC-70-5   SOT-353,UMD5
2 Independent,2.4V,±6%,200mW,100 Ohms,50µA @ 1V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,6-TSSOP   SC-88   SOT-363,SOT-363
