16,1,50µs (Typ),Voltage - Unbuffered,No,SPI   DSP,External   Internal,1.71 V ~ 5.5 V,3.17 V ~ 3.48 V,-   ±1 (Max),Cyclic Serial,-40°C ~ 105°C,32-VFQFN Exposed Pad   CSP,32-LFCSP-VQ (5x5)
16,1,50µs (Typ),Voltage - Unbuffered,No,SPI   DSP,External   Internal,1.71 V ~ 5.5 V,3.17 V ~ 3.48 V,-   ±1 (Max),Cyclic Serial,-40°C ~ 105°C,28-TSSOP (0.173"   4.40mm Width) Exposed Pad,28-TSSOP-EP
16,1,25µs (V)   40µs (A) (Typ),Voltage or Current - Buffered,No,SPI   DSP,External   Internal,10.8 V ~ 40 V   -3 V ~ 26.4 V,2.7 V ~ 5.5 V,-   ±1.3 (Max),R-2R,-40°C ~ 105°C,40-VFQFN Exposed Pad   CSP,40-LFCSP-VQ (6x6)
16,1,25µs (V)   40µs (A) (Typ),Voltage or Current - Buffered,No,SPI   DSP,External   Internal,10.8 V ~ 40 V   -3 V ~ 26.4 V,2.7 V ~ 5.5 V,-   ±1.3 (Max),R-2R,-40°C ~ 105°C,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
16,1,25µs (V)   40µs (A) (Typ),Voltage or Current - Buffered,No,SPI   DSP,External   Internal,10.8 V ~ 40 V   -3 V ~ 26.4 V,2.7 V ~ 5.5 V,-   ±1.3 (Max),R-2R,-40°C ~ 105°C,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
12,1,160ns,Current - Unbuffered,Yes,SPI   DSP,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±1 (Max)   -1/+2 (Max),R-2R,-40°C ~ 125°C,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
12,1,120ns,Current - Unbuffered,Yes,Parallel,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±1 (Max)   -1/+2 (Max),R-2R,-40°C ~ 125°C,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
12,1,120ns,Current - Unbuffered,Yes,Parallel,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±1 (Max)   -1/+2 (Max),R-2R,-40°C ~ 125°C,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
12,2,120ns,Current - Unbuffered,Yes,SPI   DSP,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±1 (Max)   -1/+2 (Max),R-2R,-40°C ~ 125°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
10,1,110ns,Current - Unbuffered,No,SPI   DSP,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±0.25 (Max)   ±0.5 (Max),R-2R,-40°C ~ 125°C,SOT-23-8 Thin   TSOT-23-8,TSOT-23-8
12,1,110ns,Current - Unbuffered,No,SPI   DSP,External,2.5 V ~ 5.5 V,2.5 V ~ 5.5 V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 125°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-MSOP
16,1,1µs (Typ),Voltage - Unbuffered,No,SPI   DSP,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.5   ±0.5,R-2R,-40°C ~ 85°C,16-WFQFN Exposed Pad   CSP,16-LFCSP-WQ (3x3)
16,2,500ns (Typ),Current - Unbuffered,No,SPI,External,5V,5V,±2 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
16,2,500ns (Typ),Current - Unbuffered,No,SPI,External,5V,5V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
14,2,500ns (Typ),Current - Unbuffered,No,SPI,External,5V,5V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
8,1,1.5µs,Voltage - Unbuffered,No,Parallel,Internal,5V,5V,±0.5   -,R-2R,0°C ~ 70°C,20-LCC (J-Lead),20-PLCC (9x9)
