Inverter,6,6,-,3 V ~ 15 V,1µA,3.4mA   3.4mA,1 V ~ 2.5 V,4 V ~ 12.5 V,30ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,3 V ~ 15 V,4µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,35ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
AND Gate,4,2,-,3 V ~ 15 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,40ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,Schmitt Trigger,3 V ~ 15 V,1µA,3.4mA   3.4mA,1.5 V ~ 4 V,3.5 V ~ 11 V,60ns @ 15V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,Open Collector,4.75 V ~ 5.25 V,-,-   60mA,0.8V,2V,9ns @ 5V   150pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Open Collector,4.75 V ~ 5.25 V,12mA,-   16mA,0.8V,2V,55ns @ 5V   15pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Open Collector,4.75 V ~ 5.25 V,-,-   40mA,0.8V,2V,23ns @ 5V   15pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NOR Gate,1,2,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.5ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,SOT-23-5,SC-74A   SOT-753
Inverter,6,6,Open Collector,4.5 V ~ 5.5 V,-,-   8mA,0.8V,2V,54ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
Inverter,6,6,-,4.5 V ~ 5.5 V,3mA,15mA   24mA,0.8V,2V,7ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,3,3,-,4.5 V ~ 5.5 V,-,400µA   8mA,0.8V,2V,11ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,1,13,-,4.5 V ~ 5.5 V,-,400µA   8mA,0.8V,2V,25ns @ 5V   50pF,0°C ~ 70°C,Through Hole,16-PDIP,16-DIP (0.300"   7.62mm)
NAND Gate,1,8,-,4.5 V ~ 5.5 V,-,400µA   8mA,0.8V,2V,12ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NOR Gate,4,2,Open Collector,4.5 V ~ 5.5 V,-,-   24mA,0.8V,2V,33ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,4,2,-,4.5 V ~ 5.5 V,-,2.6mA   24mA,0.8V,2V,8ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,3,3,-,4.5 V ~ 5.5 V,-,2mA   20mA,0.8V,2V,4.5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,2,4,-,4.5 V ~ 5.5 V,-,2mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,1,8,-,4.5 V ~ 5.5 V,1.5mA,2mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,2,4,-,4.5 V ~ 5.5 V,-,1mA   20mA,0.8V,2V,6ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NAND Gate,1,8,-,4.5 V ~ 5.5 V,1.5mA,1mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NOR Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 85°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
