https://media.digikey.com/Photos/Nexperia/MFG_SOT23_tmb.jpg,https://assets.nexperia.com/documents/data-sheet/PLVA2600A_SERIES.pdf,568-7371-2-ND,PLVA2656A  215,Nexperia USA Inc.,DIODE ZENER ARRAY 5.6V SOT23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT25_tmb.jpg,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/diode/zener/umz6.8en.pdf,UMZ6.8ENTR-ND,UMZ6.8ENTR,Rohm Semiconductor,DIODE ZENER ARRAY 6.8V UMD5,0  Standard Lead Time 10 Weeks,$0.12269,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Diodes%20Renders/31;%20SOT363;%20;%206_tmb.jpg,https://www.diodes.com/assets/Datasheets/ds30108.pdf,BZX84C2V4S-FDITR-ND,BZX84C2V4S-7-F,Diodes Incorporated,DIODE ZENER ARRAY 2.4V SOT363,0,$0.08280,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
