Volatile,SRAM,SRAM - Asynchronous,1Mb (64K x 16),-,12ns,12ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (512K x 8),-,10ns,10ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (512K x 8),-,15ns,15ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Non-Volatile,FLASH,FLASH,4Mb (512K x 8),100MHz,5ms,-,SPI,2.3 V ~ 3.6 V,-40°C ~ 105°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Volatile,DRAM,DRAM - EDO,16Mb (1M x 16),-,-,25ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,DRAM,SDRAM,16Mb (1M x 16),143MHz,-,5.5ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,50-TSOP (0.400"   10.16mm Width),50-TSOP II
Volatile,DRAM,SDRAM,256Mb (16M x 16),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,64Mb (4M x 16),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,64Mb (4M x 16),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,512Mb (16M x 32),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,64Mb (2M x 32),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,90-TFBGA,90-TFBGA (8x13)
Volatile,DRAM,SDRAM,512Mb (64M x 8),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,64Mb (2M x 32),143MHz,-,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 105°C (TA),Surface Mount,90-TFBGA,90-TFBGA (8x13)
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP I
Volatile,SRAM,SRAM - Asynchronous,1Mb (64K x 16),-,10ns,10ns,Parallel,3.135 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Synchronous,18Mb (1M x 18),200MHz,-,3.1ns,Parallel,3.135 V ~ 3.465 V,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-TQFP (14x20)
Volatile,SRAM,SRAM - Synchronous,18Mb (1M x 18),250MHz,-,2.6ns,Parallel,3.135 V ~ 3.465 V,0°C ~ 70°C (TA),Surface Mount,165-TFBGA,165-TFBGA (13x15)
Volatile,SRAM,SRAM - Asynchronous,16Mb (1M x 16),-,10ns,10ns,Parallel,2.4 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Volatile,SRAM,SRAM - Asynchronous,16Mb (1M x 16),-,10ns,10ns,Parallel,2.4 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Volatile,SRAM,SRAM - Asynchronous,4Mb (512K x 8),-,10ns,10ns,Parallel,2.4 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,1Mb (128K x 8),-,35ns,35ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,32-TFSOP (0.724"   18.40mm Width),32-TSOP I
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,45ns,45ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,28-SOIC (0.330"   8.38mm Width),28-SOP
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,45ns,45ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP I
Volatile,SRAM,SRAM - Asynchronous,1Mb (128K x 8),-,10ns,10ns,Parallel,3.15 V ~ 3.45 V,-40°C ~ 85°C (TA),Surface Mount,32-BSOJ (0.400"   10.16mm Width),32-SOJ
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,25ns,25ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP I
Volatile,SRAM,SRAM,16Kb (2K x 8),-,100ns,100ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,24-SOIC (0.339"   8.60mm Width),24-SOP
Non-Volatile,EEPROM,EEPROM,256Kb (32K x 8),1MHz,5ms,450ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,1Kb (128 x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,8Kb (1K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),1MHz,5ms,450ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),1MHz,5ms,450ns,I²C,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,FLASH,FLASH - NOR,16Mb (2M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,FLASH,FLASH - NOR,32Mb (4M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-VDFN Exposed Pad,8-VDFPN (MLP8) (8x6)
Non-Volatile,FLASH,FLASH - NOR,32Mb (4M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO
Non-Volatile,FLASH,FLASH - NOR,4Mb (512K x 8),50MHz,15ms   5ms,-,SPI,2.3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,FLASH,FLASH - NOR,64Mb (8M x 8),50MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SO W
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8),75MHz,15ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EPROM,EPROM - OTP,256Kb (32K x 8),-,-,100ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,32-LCC (J-Lead),32-PLCC (11.35x13.89)
Non-Volatile,FLASH,FLASH - NOR,1Mb (128K x 8),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,32-LCC (J-Lead),32-PLCC (11.35x13.89)
Non-Volatile,FLASH,FLASH - NOR,4Mb (512K x 8),-,45ns,45ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,32-LCC (J-Lead),32-PLCC (11.35x13.89)
Non-Volatile,FLASH,FLASH - NOR,16Mb (2M x 8   1M x 16),-,55ns,55ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8   512K x 16),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,16Mb (2M x 8   1M x 16),-,70ns,70ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,32Mb (4M x 8   2M x 16),-,70ns,70ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,4Mb (512K x 8   256K x 16),-,55ns,55ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8   512K x 16),-,70ns,70ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,1Mb (128K x 8),75MHz,3ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),1Mb (128K x 8),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,32-DIP Module (0.600"   15.24mm),32-PMDIP Module
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),256Kb (32K x 8),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,28-DIP Module (0.600"   15.24mm),28-PCDIP   CAPHAT®
Non-Volatile,EEPROM,EEPROM,2Kb (256 x 8   128 x 16),2MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,EEPROM,EEPROM,2Kb (128 x 16),2MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,128Kb (16K x 8),20MHz,5ms,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,32Kb (4K x 8),20MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),20MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,EEPROM,EEPROM,1Mb (128K x 8),16MHz,4ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 145°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,EEPROM,EEPROM,2Mb (256K x 8),5MHz,10ms,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),2Mb (256K x 8),25MHz,-,-,SPI,1.8 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOP
Non-Volatile,RAM,MRAM (Magnetoresistive RAM),1Mb (128K x 8),40MHz,-,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-VDFN Exposed Pad,8-DFN-EP   Large Flag (5x6)
Non-Volatile,FLASH,FLASH - NOR,256Mb (32M x 8),133MHz,8ms   2.8ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOP2
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8),-,90ns,90ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,40-TFSOP (0.724"   18.40mm Width),40-TSOP I
Non-Volatile,FLASH,FLASH - NOR,4Mb (512K x 8   256K x 16),-,80ns,80ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8   512K x 16),-,80ns,80ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,44-SOIC (0.496"   12.60mm Width),44-SOP
Non-Volatile,FLASH,FLASH - NOR,8Mb (1M x 8   512K x 16),-,80ns,80ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NAND,16Gb (2G x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NAND,1Gb (128M x 8),-,-,-,Parallel,1.7 V ~ 1.95 V,-40°C ~ 85°C (TA),Surface Mount,63-VFBGA,63-VFBGA
Non-Volatile,FLASH,FLASH - NAND,2Gb (256M x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NAND,2Gb (256M x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NAND,4Gb (512M x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,63-VFBGA,63-VFBGA (9x11)
Non-Volatile,FLASH,FLASH - NAND,4Gb (512M x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Non-Volatile,FLASH,FLASH - NAND,4Gb (256M x 16),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,63-VFBGA,63-VFBGA (9x11)
Non-Volatile,FLASH,FLASH - NAND,4Gb (256M x 16),-,-,-,Parallel,1.7 V ~ 1.95 V,-40°C ~ 85°C (TA),Surface Mount,63-VFBGA,63-VFBGA
Non-Volatile,FLASH,FLASH - NAND,64Gb (8G x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),-,-,-
Non-Volatile,FLASH,FLASH - NAND,8Gb (1G x 8),-,-,-,Parallel,2.7 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Volatile,DRAM,SDRAM - DDR3L,2Gb (128M x 16),800MHz,-,13.75ns,Parallel,1.283 V ~ 1.45 V,-40°C ~ 95°C (TC),Surface Mount,96-TFBGA,96-FBGA (8x14)
Volatile,DRAM,SDRAM - DDR3L,4Gb (256M x 16),800MHz,-,13.75ns,Parallel,1.283 V ~ 1.45 V,-40°C ~ 95°C (TC),Surface Mount,96-TFBGA,96-FBGA (9x14)
Volatile,PSRAM,PSRAM (Pseudo SRAM),32Mb (2M x 16),-,70ns,70ns,Parallel,1.7 V ~ 1.95 V,-30°C ~ 85°C (TC),Surface Mount,48-VFBGA,48-VFBGA (6x8)
Volatile,DRAM,SDRAM - Mobile LPDDR,512Mb (32M x 16),200MHz,15ns,5.0ns,Parallel,1.7 V ~ 1.95 V,-40°C ~ 85°C (TA),Surface Mount,60-VFBGA,60-VFBGA (8x9)
Volatile,DRAM,SDRAM - Mobile LPDDR,512Mb (32M x 16),200MHz,15ns,5.0ns,Parallel,1.7 V ~ 1.95 V,-40°C ~ 85°C (TA),Surface Mount,60-VFBGA,60-VFBGA (8x9)
Volatile,DRAM,SDRAM - Mobile LPDDR,1Gb (64M x 16),200MHz,15ns,5.0ns,Parallel,1.7 V ~ 1.95 V,-40°C ~ 85°C (TA),Surface Mount,60-VFBGA,60-VFBGA (8x9)
Volatile,DRAM,SDRAM - DDR,256Mb (16M x 16),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,256Mb (16M x 16),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,0°C ~ 70°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,256Mb (16M x 16),167MHz,15ns,700ps,Parallel,2.3 V ~ 2.7 V,0°C ~ 70°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,256Mb (16M x 16),167MHz,15ns,700ps,Parallel,2.3 V ~ 2.7 V,0°C ~ 70°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),167MHz,15ns,700ps,Parallel,2.3 V ~ 2.7 V,0°C ~ 70°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),167MHz,15ns,700ps,Parallel,2.3 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,512Mb (32M x 16),167MHz,15ns,700ps,Parallel,2.3 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR,256Mb (32M x 8),200MHz,15ns,700ps,Parallel,2.5 V ~ 2.7 V,0°C ~ 70°C (TA),Surface Mount,66-TSSOP (0.400"   10.16mm Width),66-TSOP
Volatile,DRAM,SDRAM - DDR2,2Gb (128M x 16),400MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,0°C ~ 85°C (TC),Surface Mount,84-TFBGA,84-FBGA (9x12.5)
Volatile,DRAM,SDRAM - DDR2,2Gb (128M x 16),400MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,-40°C ~ 95°C (TC),Surface Mount,84-TFBGA,84-FBGA (9x12.5)
Volatile,DRAM,SDRAM - DDR2,512Mb (32M x 16),267MHz,15ns,500ps,Parallel,1.7 V ~ 1.9 V,-40°C ~ 95°C (TC),Surface Mount,84-TFBGA,84-FBGA (12x12.5)
Volatile,DRAM,SDRAM - DDR2,512Mb (32M x 16),400MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,0°C ~ 85°C (TC),Surface Mount,84-TFBGA,84-FBGA (8x12.5)
Volatile,DRAM,SDRAM - DDR2,1Gb (64M x 16),267MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,0°C ~ 85°C (TC),Surface Mount,92-VFBGA,92-FBGA (11x19)
Volatile,DRAM,SDRAM - DDR2,1Gb (64M x 16),333MHz,15ns,450ps,Parallel,1.7 V ~ 1.9 V,0°C ~ 85°C (TC),Surface Mount,84-TFBGA,84-FBGA (8x12.5)
Volatile,DRAM,SDRAM - DDR2,512Mb (64M x 8),400MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,-40°C ~ 95°C (TC),Surface Mount,60-TFBGA,60-FBGA (8x10)
Volatile,DRAM,SDRAM,256Mb (16M x 16),133MHz,15ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,256Mb (16M x 16),133MHz,15ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,64Mb (2M x 32),167MHz,12ns,5.5ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,512Mb (32M x 16),133MHz,15ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,256Mb (32M x 8),133MHz,15ns,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,60-FBGA,60-FBGA (8x16)
Volatile,DRAM,SDRAM,64Mb (4M x 16),133MHz,15ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,128Mb (4M x 32),167MHz,12ns,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,128Mb (4M x 32),143MHz,14ns,5.5ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,90-VFBGA,90-VFBGA (8x13)
Volatile,DRAM,SDRAM,128Mb (4M x 32),143MHz,14ns,5.5ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,128Mb (4M x 32),143MHz,14ns,5.5ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,128Mb (4M x 32),167MHz,12ns,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,86-TFSOP (0.400"   10.16mm Width),86-TSOP II
Volatile,DRAM,SDRAM,128Mb (8M x 16),167MHz,12ns,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,256Mb (8M x 32),166MHz,12ns,5.5ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,90-VFBGA,90-VFBGA (8x13)
Volatile,DRAM,SDRAM,64Mb (8M x 8),133MHz,14ns,5.4ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Non-Volatile,FLASH,FLASH - NAND,16Gb (2G x 8),-,-,-,MMC,2.7 V ~ 3.6 V,-25°C ~ 85°C (TA),-,-,-
Non-Volatile,FLASH,FLASH - NOR,64Mb (8M x 8),86MHz,300µs   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOP
Non-Volatile,FLASH,FLASH - NOR,1Gb (256M x 4),108MHz,8ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOP
Non-Volatile,FLASH,FLASH - NOR,32Mb (8M x 4),108MHz,8ms   5ms,-,SPI,1.7 V ~ 2 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SO W
Non-Volatile,FLASH,FLASH - NOR,128Mb (32M x 4),108MHz,8ms   5ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOP2
Non-Volatile,FLASH,FLASH - NAND,256Mb (32M x 8),-,50ns,50ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH - NOR,128Mb (8M x 16),52MHz,85ns,85ns,Parallel,1.7 V ~ 2 V,-40°C ~ 85°C (TA),Surface Mount,64-TFBGA,64-EasyBGA (10x13)
Non-Volatile,FLASH,FLASH - NOR,64Mb (8M x 8   4M x 16),-,75ns,75ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,64-TBGA,64-EasyBGA (10x13)
Volatile,SRAM,SRAM,16Mb (2M x 8   1M x 16),-,55ns,55ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TSOP,48-TSOP
