Non-Volatile,EEPROM,EEPROM,2Kb (256 x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,4Kb (256 x 8 x 2),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,128Kb (16K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Non-Volatile,EEPROM,EEPROM,32Kb (4K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,512Kb (64K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),400kHz,5ms,900ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,SC-74A   SOT-753,SOT-23-5
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),2MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),2MHz,5ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,2Kb (128 x 16),2MHz,6ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,SOT-23-6,SOT-23-6
Non-Volatile,EEPROM,EEPROM,2Kb (128 x 16),2MHz,6ms,-,SPI,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Volatile,DRAM,SDRAM,256Mb (16M x 16),166MHz,12ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,256Mb (16M x 16),166MHz,12ns,5ns,Parallel,3 V ~ 3.6 V,-40°C ~ 105°C (TA),Surface Mount,54-TFBGA,54-TFBGA (8x8)
Volatile,DRAM,SDRAM,256Mb (16M x 16),166MHz,12ns,5ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,DRAM,SDRAM,64Mb (4M x 16),166MHz,2ns,5.4ns,Parallel,3 V ~ 3.6 V,-40°C ~ 105°C (TA),Surface Mount,54-TFBGA,54-TFBGA (8x8)
Volatile,DRAM,SDRAM - DDR2,1Gb (64M x 16),400MHz,15ns,400ps,Parallel,1.7 V ~ 1.9 V,-40°C ~ 95°C (TC),Surface Mount,84-TFBGA,84-FBGA (8x12.5)
Volatile,SRAM,SRAM - Asynchronous,8Mb (512K x 16),-,55ns,55ns,Parallel,2.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Non-Volatile,EEPROM,EEPROM,8Kb (1K x 8),400kHz,5ms,900ns,I²C,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,1Mb (128K x 8),1MHz,5ms,550ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,1Mb (128K x 8),1MHz,5ms,550ns,I²C,2.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,128Kb (16K x 8),1MHz,5ms,550ns,I²C,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),-,10ms,150ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,EEPROM,EEPROM,64Kb (8K x 8),-,10ms,150ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TC),Through Hole,28-DIP (0.600"   15.24mm),28-PDIP
Non-Volatile,EEPROM,EEPROM,256Kb (32K x 8),-,10ms,90ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TC),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP
Non-Volatile,FLASH,FLASH,4Mb (512K x 8),-,10ms,90ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,256Kb (32K x 8),-,10ms,90ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,512Kb (64K x 8),-,10ms,120ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
