Positive,Fixed,1,6V,3.3V,-,0.1V @ 150mA,150mA,150µA,250µA,60dB ~ 50dB (1kHz ~ 10kHz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Adjustable,1,5.5V,0.8V,4.5V,0.4V @ 3A,3A,4mA,6mA,68dB (120Hz),Enable,Over Current   Over Temperature,-25°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Adjustable,1,5.5V,0.8V,5.4V,0.1V @ 100mA,150mA,160µA,-,52dB ~ 51dB (1kHz ~ 10kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,5.5V,3.3V,-,0.4V @ 300mA,300mA,60µA,120µA,55dB (120Hz ~ 10kHz),Enable,Over Current   Over Temperature,-40°C ~ 125°C (TJ),Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,18V,5V,-,0.6V @ 1.2A,1.2A,1.5µA,380µA,87dB ~ 50dB (120Hz ~ 100kHz),Enable,Over Current   Over Temperature   Under Voltage Lockout (UVLO),-40°C ~ 125°C (TJ),Surface Mount,6-VDFN Exposed Pad,6-DFN (3x3)
Positive,Adjustable,1,18V,1.18V,-,0.6V @ 1.2A,1.2A,1.5µA,380µA,87dB ~ 50dB (120Hz ~ 100kHz),Enable,Over Current   Over Temperature   Under Voltage Lockout (UVLO),-40°C ~ 125°C (TJ),Surface Mount,6-VDFN Exposed Pad,6-DFN (3x3)
Positive,Fixed,1,6V,3.3V,-,0.25V @ 300mA,300mA,150µA,300µA,55dB ~ 50dB (1kHz ~ 10kHz),Shutdown,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,1.5V,-,1V @ 200mA (Typ),500mA,1mA,12mA,82dB ~ 65dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,16V,2.5V,-,1.3V @ 500mA,500mA,2mA,12mA,82dB ~ 65dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
Positive,Fixed,1,16V,3.3V,-,0.7V @ 500mA,500mA,1mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,16V,3.3V,-,0.7V @ 500mA,500mA,1mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Fixed,1,16V,3.3V,-,0.7V @ 500mA,500mA,1mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,16V,3.3V,-,1.3V @ 500mA,500mA,2mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Fixed,1,16V,5V,-,0.7V @ 500mA,500mA,1mA,12mA,76dB ~ 60dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,16V,9V,-,0.7V @ 500mA,500mA,1.5mA,12mA,71dB ~ 56dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,16V,9V,-,0.7V @ 500mA,500mA,1.5mA,12mA,71dB ~ 56dB (120Hz ~ 10kHz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Fixed,1,14V,8V,-,0.35V @ 150mA,150mA,250µA,-,55dB (400Hz),Enable,Over Current   Over Temperature,-30°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,14V,3.3V,-,0.5V @ 200mA,200mA,250µA,-,55dB (400Hz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,27V,3.3V,-,1.5V @ 3A,3A,10mA,-,72dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C (TJ),Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Adjustable,1,29V,1.25V,15V,1.5V @ 3A,3A,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C (TJ),Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Fixed,1,27V,3.3V,-,1.5V @ 3A,3A,10mA,-,72dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C (TJ),Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Fixed,1,15V,1.8V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,15V,5V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Adjustable,1,15V,1.25V,13.8V,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Adjustable,1,15V,1.25V,13.8V,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,5V,-,1.2V @ 800mA,800mA,5mA,10mA,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Negative,Adjustable,1,-41.25V,-1.2V,-37V,-,1.5A,-,-,66dB (120Hz),-,Over Current   Over Temperature,-55°C ~ 125°C (TA),-,-,-
Positive,Adjustable,1,40V,1.2V,32V,-,5A,-,-,75dB (120Hz),-,Over Temperature,-55°C ~ 150°C,Through Hole,TO-204AA   TO-3,TO-3-2
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,-25°C ~ 150°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Adjustable,1,40V,1.2V,37V,-,500mA,-,-,80dB ~ 65dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,-25°C ~ 150°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,26V,8V,-,0.6V @ 150mA,150mA,7mA,40mA,52dB (120Hz),-,Load Dump   Mirror-Image Insertion   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,26V,3V,24V,0.3V @ 100mA,100mA,1mA,15mA,55dB (120Hz),-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable,1,40V,2.7V,29.5V,0.6V @ 100mA,100mA,-,-,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-5,TO-220-5
Positive,Fixed,1,40V,5V,-,0.6V @ 100mA,100mA,-,-,90dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Positive,Fixed,1,40V,3.3V,-,0.2V @ 50mA,50mA,15µA,2.5mA,60dB (120Hz),-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,40V,5V,-,0.12V @ 50mA,50mA,9µA,2.5mA,60dB (120Hz),-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Positive,Fixed,1,26V,10V,-,1V @ 50mA,400mA,2mA,20mA,-,-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,26V,2.5V,-,1V @ 50mA,400mA,2mA,1.25A,-,-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,26V,3.3V,-,1V @ 50mA,400mA,2mA,1.25A,-,-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,26V,5V,-,1V @ 50mA,400mA,2mA,20mA,-,-,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,26V,5V,-,0.8V @ 1A,1A,10mA,15mA,64dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Fixed,1,26V,5V,-,1V @ 1A,1A,10mA,15mA,64dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Fixed,1,26V,12V,-,1V @ 1A,1A,10mA,15mA,66dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Fixed,1,26V,5V,-,1V @ 1A,1A,10mA,15mA,64dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Positive,Fixed,1,26V,5V,-,1V @ 1A,1A,10mA,15mA,64dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,26V,8V,-,1V @ 1A,1A,10mA,15mA,66dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,26V,5V,20V,1V @ 1A,1A,10mA,15mA,-,Enable,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Adjustable,1,26V,5V,20V,1V @ 1A,1A,10mA,15mA,-,Enable,Over Temperature   Reverse Polarity   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-5,TO-220-5
Negative,Fixed,1,-26V,-5V,-,1V @ 1A,1.8A,1mA,5mA,58dB (1kHz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,DDPAK/TO-263-3
Negative,Adjustable,1,-26V,-3V,-24V,1V @ 1A,1A,0.7mA,5mA,60dB (1kHz),Enable,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Adjustable,1,40V,1.25V,37V,-,1.5A,10mA,-,80dB ~ 65dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Adjustable,1,40V,1.25V,37V,-,1.5A,10mA,-,80dB ~ 65dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Adjustable,1,40V,1.25V,37V,-,1.5A,10mA,-,80dB ~ 65dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,10mA,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,10mA,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Adjustable,1,40V,1.2V,37V,-,1.5A,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Adjustable,1,60V,1.25V,57V,-,-,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,60V,1.25V,57V,-,-,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-204AA   TO-3,TO-3-2
Positive,Adjustable,1,37V,1.25V,37V,-,1.5A,-,-,80dB ~ 65dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-204AA   TO-3,TO-3-2
Negative,Adjustable,1,-40V,-1.2V,-37V,-,1.5A,6mA,10mA,77dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Negative,Adjustable,1,-40V,-1.2V,-37V,-,1.5A,6mA,10mA,77dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Negative,Adjustable,1,-50V,-1.2V,-37V,-,1A,-,-,60dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Negative,Adjustable,1,-40V,-1.2V,-37V,-,100mA,-,-,60dB (120Hz),-,Over Temperature   Short Circuit,-25°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Negative,Adjustable,1,-40V,-1.2V,-37V,-,100mA,-,-,60dB (120Hz),-,Over Temperature   Short Circuit,-25°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Positive,Adjustable,1,40V,1.24V,32V,-,5A,-,-,75dB ~ 60dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-204AA   TO-3,TO-3-2
Positive,Fixed,1,35V,15V,-,2V @ 1A,1A,8mA,-,80dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,35V,15V,-,2V @ 1A,1A,8mA,-,80dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,30V,3.3V,-,1.2V @ 100mA,100mA,2mA,-,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Positive,Fixed,1,30V,12V,-,1.2V @ 100mA,100mA,4mA,-,-,Enable,Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Adjustable,1,35V,1.25V,33V,-,3A,-,-,86dB ~ 65dB (120Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,35V,1.2V,33V,-,3A,-,-,80dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,8V,-,2V @ 1A (Typ),1A,8mA,-,73dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,35V,12V,-,2V @ 1A,1A,8mA,-,80dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,35V,5V,-,-,100mA,3mA,-,62dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,35V,5V,-,-,100mA,3mA,-,62dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,35V,12V,-,-,100mA,3mA,-,54dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,35V,15V,-,-,100mA,3mA,-,51dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Negative,Fixed,1,-35V,-5V,-,-,100mA,6mA,-,50dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Negative,Fixed,1,-35V,-15V,-,-,100mA,6mA,-,50dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,30V,5V,-,0.6V @ 100mA,100mA,120µA,14mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA) (Formed Leads),TO-92-3
Positive,Fixed,1,30V,5V,-,0.6V @ 100mA,100mA,120µA,14mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Positive,Fixed,1,30V,5V,-,0.6V @ 100mA,100mA,120µA,14mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Positive,Adjustable (Fixed),1,30V,1.24V (5V),29V,0.6V @ 100mA,100mA,150µA,14mA,-,Enable   Error Flag,-,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable (Fixed),1,30V,1.24V (5V),29V,0.6V @ 100mA,100mA,150µA,14mA,-,Enable   Error Flag,-,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable (Fixed),1,30V,1.235V (5V),30V,0.6V @ 100mA,100mA,120µA,14mA,-,Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable (Fixed),1,30V,1.235V (5V),30V,0.45V @ 100mA,100mA,120µA,12mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),Micro8™
Positive,Adjustable (Fixed),1,30V,1.24V (5V),29V,0.6V @ 100mA,100mA,120µA,14mA,-,Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable (Fixed),1,30V,1.24V (5V),29V,0.6V @ 100mA,100mA,120µA,14mA,-,Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Adjustable (Fixed),1,30V,1.235V (5V),30V,0.45V @ 100mA,100mA,120µA,12mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Positive,Fixed,1,16V,3.3V,-,0.22V @ 50mA,50mA,95µA,1.2mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,5V,-,0.22V @ 50mA,50mA,95µA,1.2mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3V,-,0.22V @ 50mA,50mA,95µA,1.2mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3.3V,-,0.22V @ 50mA,50mA,95µA,1.2mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Adjustable,1,16V,1.23V,15V,0.22V @ 50mA,50mA,95µA,1.2mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3.3V,-,0.37V @ 100mA,100mA,95µA,1.7mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,5V,-,0.37V @ 100mA,100mA,95µA,1.7mA,63dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3V,-,0.58V @ 150mA,150mA,95µA,2.5mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,5V,-,0.58V @ 150mA,150mA,95µA,2.5mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,4V,-,0.58V @ 150mA,150mA,95µA,2.5mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3V,-,0.58V @ 150mA,150mA,95µA,2.5mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,5V,-,0.58V @ 150mA,150mA,95µA,2.5mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,16V,3.3V,-,0.85V @ 250mA,250mA,95µA,4mA,45dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,7V,1.8V,-,0.6V @ 3A,3A,4mA,10mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Fixed,1,7V,2.5V,-,0.6V @ 3A,3A,4mA,10mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Fixed,1,7V,3.3V,-,0.6V @ 3A,3A,4mA,10mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Fixed,1,7V,2.5V,-,0.6V @ 3A,3A,4mA,10mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Fixed,1,10V,3.3V,-,1V @ 1A,1A,55µA,100µA,55dB (120Hz),-,Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-5   TO-261AB,SOT-223-5
Positive,Adjustable,1,10V,1.25V,9V,-,1A,55µA,100µA,55dB (120Hz),-,Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-5   TO-261AB,SOT-223-5
Positive,Adjustable,1,7V,1.22V,6.4V,0.55V @ 1.5A,1.5A,5mA,15mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-261-5   TO-261AB,SOT-223-5
Positive,Fixed,1,7V,3.3V,-,0.55V @ 1.5A,1.5A,5mA,15mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Adjustable,1,7V,1.22V,6.4V,0.55V @ 1.5A,1.5A,5mA,15mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Adjustable,1,7V,1.22V,6.4V,0.55V @ 1.5A,1.5A,5mA,15mA,73dB ~ 57dB (120Hz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
Positive,Adjustable,1,16V,1V,5.5V,1.1V @ 800mA,800mA,1.5mA,15mA,60dB (1kHz),Enable,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-WDFN Exposed Pad,8-WSON (4x4)
Positive,Fixed,1,5.5V,1.2V,-,1V @ 1A,3A,30µA,8mA,80dB ~ 65dB (120Hz ~ 1kHz),Enable,Over Current   Over Temperature   Short Circuit   Under Voltage Lockout (UVLO),-40°C ~ 125°C,Surface Mount,TO-263-6   D²Pak (5 Leads + Tab)   TO-263BA,DDPAK/TO-263-5
