Negative,Fixed,1,-35V,-12V,-,1.1V @ 1A (Typ),1.5A,3mA,-,60dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Negative,Fixed,1,-35V,-15V,-,1.1V @ 1A (Typ),1.5A,3mA,-,60dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,16V,3.3V,-,1.3V @ 500mA,500mA,2mA,12mA,80dB ~ 65dB (120Hz ~ 65dB),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,DPAK
Negative,Adjustable,1,-40V,-1.2V,-37V,-,1.5A,-,-,77dB (120Hz),-,Over Current   Over Temperature,-25°C ~ 150°C,Through Hole,TO-220-3,TO-220-3
Positive,Fixed,1,26V,12V,-,0.8V @ 1A,1A,10mA,15mA,66dB (120Hz),-,Over Current   Over Temperature   Reverse Polarity   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,40V,1.2V,37V,-,100mA,10mA,-,80dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Negative,Adjustable,1,-50V,-1.2V,-37V,-,1.5A,-,-,77dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,40V,1.24V,32V,-,5A,-,-,75dB ~ 60dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220-3
Positive,Adjustable,1,40V,2V,37V,-,150mA,-,-,86dB ~ 74dB (50Hz ~ 10kHz),Current Limit   Frequency Control,Short Circuit,0°C ~ 70°C,Through Hole,14-DIP (0.300"   7.62mm),14-DIP
Positive,Fixed,1,30V,5V,-,0.6V @ 100mA,100mA,120µA,14mA,-,-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,5.5V,2.5V,-,0.2V @ 400mA,400mA,550µA,1mA,58dB ~ 37dB (100Hz ~ 10kHz),Enable,Over Current   Over Temperature   Reverse Polarity,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Positive,Fixed,1,30V,5V,-,-,100mA,6mA,-,49dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Negative,Fixed,1,-30V,-8V,-,-,100mA,5.5mA,6mA,45dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Positive,Fixed,1,5.5V,2.8V,-,0.16V @ 150mA,150mA,22µA,320µA,-,Enable,Over Current   Over Temperature   Under Voltage Lockout (UVLO),-40°C ~ 125°C,Surface Mount,4-WFBGA   WLCSP,4-WLCSP (0.76x0.76)
Positive,Fixed,1,5.5V,3.3V,-,0.16V @ 150mA,150mA,22µA,320µA,70dB ~ 55dB (10kHz ~ 100kHz),Enable,Over Current   Over Temperature   Under Voltage Lockout (UVLO),-40°C ~ 125°C,Surface Mount,SOT-23-5 Thin   TSOT-23-5,TSOT-5
Positive,Adjustable,1,3.6V,0.75V,3.3V,0.28V @ 2A,2A,800µA,1.8mA,65dB ~ 51dB (1kHz ~ 100kHz),Enable   Power Good   Soft Start,Over Current   Over Temperature   Reverse Polarity,-40°C ~ 125°C,Surface Mount,16-WQFN Exposed Pad   CSP,16-LFCSP-WQ (4x4)
Positive,Fixed,1,12V,3.3V,-,0.4V @ 200mA,200mA,400µA,4mA,-,Enable,Over Temperature,-25°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,12V,5V,-,0.4V @ 200mA,200mA,400µA,4mA,-,Enable,Over Temperature,-25°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,12V,2.5V,-,0.23V @ 200mA,200mA,50µA,4mA,-,Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
Positive,Fixed,1,12V,5V,-,0.23V @ 200mA,200mA,50µA,4mA,-,Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
Positive,Adjustable,1,11V,1.5V,10V,0.4V @ 500mA,500mA,130µA,10mA,-,Enable,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,8-WFDFN Exposed Pad   CSP,8-LFCSP-WD (3x3)
Positive,Adjustable,1,11V,1.5V,10V,0.4V @ 500mA,500mA,130µA,10mA,-,Enable,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-MSOP
Positive,Adjustable,1,11V,1.5V,10V,0.4V @ 500mA,500mA,130µA,10mA,-,Enable,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
