Temp Monitoring System (Sensor),Internal and External,-,±3.5°C Local(Max)   ±1.5°C Remote(Max),ADC   Multiplexer   Voltage Reference,I²C,Yes,Yes,2.9 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
Temp Monitoring System (Sensor),External,-,±0.5°C(Max),ADC (Sigma Delta)   Comparator   Register Bank,SPI,No,No,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,20-WQFN Exposed Pad,20-TQFN-EP (5x5)
Temp Monitoring System (Sensor),External,-,±0.5°C(Max),ADC (Sigma Delta)   Comparator   Register Bank,SPI,No,No,3 V ~ 3.6 V,-40°C ~ 125°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
