https://media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS  -MS10;-10_tmb.jpg,http://www.linear.com/docs/29813,LTC2990IMS#PBF-ND,LTC2990IMS#PBF,Linear Technology/Analog Devices,IC TEMP/VOLT/CUR MONITOR 10MSOP,0  Standard Lead Time 12 Weeks,$5.64000,1,Tube  Alternate Packaging,-,Active
https://media.digikey.com/renders/Maxim%20Renders/20-TQFN%20PKG_tmb.jpg,http://datasheets.maximintegrated.com/en/ds/MAX31865.pdf,MAX31865ATP+TTR-ND,MAX31865ATP+T,Maxim Integrated,IC RTD TO DIGITAL CONVERT 20TQFN,7  500 - Immediate,$3.22432,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/20-SSOP_SOT266-1_tmb.jpg,http://datasheets.maximintegrated.com/en/ds/MAX31865.pdf,MAX31865AAP+TTR-ND,MAX31865AAP+T,Maxim Integrated,IC RTD TO DIGITAL CONVERT 20SSOP,4  000 - Immediate,$3.22432,2  000,Tape & Reel (TR)  Alternate Packaging,-,Active
