Universal Shift Register,8-Bit,7.8mA   7.8mA,2 V ~ 6 V,-55°C ~ 125°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Universal Shift Register,8-Bit,6mA   6mA,2 V ~ 6 V,-40°C ~ 125°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
